,Unnamed: 0,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist
32,32,0.0358,0.9590000000000001,213000,0.598,0.0,8,0.358,-5.534,1,0.0713,127.029,4.0,0.424,1,Best Friend,Young Thug
33,33,0.0324,0.742,280831,0.5589999999999999,0.0,5,0.0987,-5.876,1,0.141,146.923,4.0,0.429,1,Hercules,Young Thug
34,34,0.11800000000000001,0.805,232880,0.687,0.0,9,0.0842,-7.771,1,0.0458,119.999,4.0,0.6829999999999999,1,Who Be Lovin Me (feat. ILOVEMAKONNEN),Santigold
35,35,0.0428,0.667,230693,0.581,0.0,0,0.183,-5.164,0,0.32299999999999995,110.95299999999999,4.0,0.37200000000000005,1,Check,Young Thug
36,36,0.297,0.722,175613,0.823,0.0,7,0.489,-3.9160000000000004,1,0.081,148.23,4.0,0.855,1,Poppin' My Collar,Three 6 Mafia
37,37,0.0565,0.853,205879,0.547,0.0,1,0.341,-7.535,1,0.19399999999999998,142.065,4.0,0.677,1,Jumpman,Drake
38,38,0.0128,0.747,213507,0.705,0.0,9,0.126,-5.1370000000000005,0,0.126,136.024,4.0,0.5710000000000001,1,7/11,Beyoncé
39,39,0.135,0.777,237187,0.591,5.5e-05,1,0.126,-7.431,0,0.0327,124.111,4.0,0.848,1,Somebody's Watching Me,Rockwell
40,40,0.00041,0.731,324541,0.852,0.625,11,0.358,-6.08,1,0.0476,125.008,4.0,0.622,1,Bang That,Disclosure
41,41,0.0035600000000000002,0.76,186122,0.402,0.0,8,0.33299999999999996,-8.751,1,0.16399999999999998,147.028,4.0,0.069,1,I Don't Sell Molly No More,ILoveMakonnen
42,42,0.00156,0.624,183000,0.792,1.54e-06,10,0.0772,-5.33,0,0.0473,139.94,4.0,0.318,1,Versace Python,Riff Raff
43,43,0.00243,0.621,378893,0.6829999999999999,0.00856,11,0.525,-5.619,0,0.242,124.28299999999999,5.0,0.0891,1,Monster,Kanye West
44,44,0.5329999999999999,0.64,234526,0.8190000000000001,0.0,7,0.156,-4.1080000000000005,1,0.455,166.012,4.0,0.624,1,OOOUUU,Young M.A.
45,45,0.0063100000000000005,0.715,213093,0.833,0.0,2,0.16399999999999998,-5.379,1,0.10800000000000001,95.48700000000001,4.0,0.607,1,Return Of The Mack - C & J Street Mix,Mark Morrison
46,46,0.00182,0.7,386160,0.7559999999999999,0.711,2,0.0575,-10.714,1,0.0575,114.28,4.0,0.9470000000000001,1,Fantastic Man,William Onyeabor
47,47,0.0923,0.789,175240,0.494,0.000408,1,0.14400000000000002,-13.702,1,0.0456,104.59299999999999,4.0,0.8320000000000001,1,Right Place Wrong Time,Dr. John
48,48,0.375,0.7959999999999999,252547,0.86,0.00457,5,0.0745,-6.202000000000001,0,0.0653,129.00799999999998,3.0,0.973,1,Azon de ma gnin kpevi,T. P. Orchestre Poly-Rythmo
49,49,0.183,0.716,576888,0.9570000000000001,0.057999999999999996,3,0.182,-4.814,1,0.0689,106.714,4.0,0.93,1,Odofo Nyi Akyiri Biara,Ebo Taylor
50,50,0.0185,0.74,241341,0.846,0.0624,2,0.254,-6.039,1,0.0808,95.995,4.0,0.852,1,Annie,Neon Indian
51,51,0.0638,0.7,224480,0.84,0.11199999999999999,7,0.141,-6.227,0,0.0292,132.475,4.0,0.745,1,The Chase,Future Islands
52,52,0.456,0.514,215613,0.45299999999999996,0.000181,6,0.17800000000000002,-7.062,1,0.0267,75.548,4.0,0.532,1,Coming Home,Leon Bridges
53,53,0.128,0.313,286960,0.77,0.0787,7,0.0873,-7.265,1,0.0335,74.749,4.0,0.18600000000000003,1,Wishes,Beach House
54,54,0.24600000000000002,0.6759999999999999,254769,0.528,0.0,7,0.0803,-8.699,1,0.0366,130.07299999999998,4.0,0.301,1,White Iverson,Post Malone
55,55,0.12,0.532,213622,0.596,0.0,11,0.504,-9.912,0,0.187,119.296,5.0,0.486,1,I Know There's Gonna Be (Good Times),Jamie xx
56,56,0.00426,0.6459999999999999,283067,0.629,0.27699999999999997,8,0.122,-10.775,0,0.0427,109.01299999999999,4.0,0.17600000000000002,1,Loud Places,Jamie xx
57,57,0.193,0.598,238307,0.252,0.138,2,0.0992,-15.085999999999999,1,0.0647,120.06,4.0,0.0359,1,L$D,A$AP Rocky
58,58,0.0174,0.754,113373,0.442,9.4e-05,5,0.0622,-8.873,0,0.127,148.04,4.0,0.599,1,Dopeman,Vince Staples
59,59,0.000392,0.294,311360,0.7859999999999999,0.865,2,0.272,-3.6260000000000003,1,0.0378,81.108,4.0,0.136,1,California Nights,Best Coast
60,60,0.435,0.622,287427,0.253,0.47100000000000003,2,0.0941,-14.36,1,0.0331,92.584,4.0,0.32799999999999996,1,Baby,Ariel Pink's Haunted Graffiti
61,61,0.257,0.5589999999999999,225347,0.6559999999999999,0.000171,9,0.2,-8.699,0,0.0469,79.638,4.0,0.6709999999999999,1,Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland"
